Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-04-18,166.0372314453125,167.62763251332663,165.55018268321453,167.02129381245496,43122900,169.7070739746094,168.27934544407364,168.13589477539062,33.112955792129995,-7.9519805908203125,-89.21365804702214,-95.85105795391966,3.3833534669386562,1
2024-04-19,164.00946044921875,165.40104980433753,163.09498527768548,165.21220316607506,67772100,167.4109344482422,166.8560504457887,166.23669026692707,26.887987174223273,-11.480697631835938,-110.2747477714391,-92.6693434839677,3.2951320051279054,1
2024-04-22,164.8444366455078,166.2559103754066,163.78086788564391,164.52636553527142,48116400,166.04916076660157,166.18551251236175,165.38119099934895,33.33830034095965,-6.808868408203125,-64.23856362345316,-81.81805596462569,3.131114099156913,1
2024-04-23,165.8980712890625,166.0471799196536,163.92996173620628,164.3573882766078,49537800,165.55613403320314,166.08969877126202,165.33082784016926,41.48176537429815,-2.4651336669921875,-26.658388799660166,-57.07747198598261,2.928334913148753,1
2024-04-24,168.00535583496094,168.2836737462142,165.21222704669103,165.540232667877,48251800,165.7589111328125,166.72825112582834,166.14723510742186,55.17234963988712,1.013885498046875,110.07258409628632,-5.363935663922659,2.9569572707472918,-1
2024-04-25,168.87013244628906,169.58581142644354,167.14057238305094,168.51229295621184,50558300,166.32549133300782,167.44221156598192,167.18430887858074,59.97570999710966,2.8329010009765625,114.48861235201807,-11.026007533592864,2.854613624350528,1
2024-04-26,168.28366088867188,170.31140768247312,168.16437095925713,168.86018085141623,44838400,167.18033142089843,167.72269467354525,167.83703206380207,54.981478805340856,4.274200439453125,87.72502187473404,-31.050217239098387,2.713098243099473,1
2024-04-29,172.4584503173828,174.97326108846298,172.06085765153782,172.3292258757486,68169400,168.70313415527343,169.30127988815778,169.59640502929688,74.1414549369473,7.614013671875,156.2006138397161,-22.772277476714986,3.5083986390422734,1
2024-04-30,169.30747985839844,173.9395086711804,168.9794590883409,172.28947031289857,65934800,169.38501586914063,169.30334654490468,169.7978535970052,52.900177281304295,3.4094085693359375,38.44257484199342,-58.04488751722469,3.7987288291464365,1
2024-05-01,168.28366088867188,171.67319360904702,168.0947990703537,168.56197877866052,50383100,169.4406768798828,168.96345132616042,169.43073527018228,47.38625350101724,0.2783050537109375,-36.400313538322386,-85.40617981114053,3.75466197089253,1
2024-05-02,171.9912872314453,172.37894542666191,169.8641344122997,171.47440458209337,94214900,170.06490783691407,169.9727299612554,170.28093872070312,64.25286051333993,3.12115478515625,36.537440521478906,-43.35233441962565,3.822786484513972,1
2024-05-03,182.27914428710938,185.87740797297917,181.56346535319665,185.52950301417593,163224100,172.86400451660157,174.0748680698734,174.35235087076822,83.07350539839211,13.9954833984375,166.6666666666679,-20.23473442830168,5.835453340690831,-1
2024-05-06,180.61917114257812,183.09421354898845,179.33690673477625,181.2553285088154,78569700,174.49614868164062,176.25630242744165,176.93740641276042,75.09883804290165,8.160720825195312,70.05460134633041,-29.569546623862976,5.4198240346066,1
2024-05-07,181.30502319335938,183.79001537072006,180.23151991986552,182.34872294128857,77305800,176.89565734863282,177.93920934941423,179.20703125,76.27507360688844,11.997543334960938,52.74614949485955,-25.712676945533662,5.0475583172911955,1
2024-05-08,181.6429901123047,181.97101089337855,180.36072568018065,181.75233037266264,45057100,179.56752319335936,179.1738029370444,180.7894755045573,76.94584970279507,13.359329223632812,31.389881290352335,-26.443174436687833,4.360103695637851,1
2024-05-09,183.46202087402344,183.55147695770702,181.0167817496789,181.46407733528633,48983000,181.861669921875,180.60320891603743,182.08764139811197,80.63029116021832,11.470733642578125,58.67087133304061,-36.929694085944234,3.9950219977612895,1
2024-05-10,182.1979217529297,184.22841905381327,181.28220609270682,184.039301056681,50759500,181.84542541503907,181.1347798616682,182.19972534179686,70.80118221966381,-0.0812225341796875,77.37884741421387,-41.51062429059406,3.785260190267323,1
2024-05-13,185.41287231445312,186.22906253508128,183.76059590764,184.57678612826817,72044800,182.80416564941407,182.56081067926317,183.38887430826824,78.9564484222407,4.793701171875,166.66666666666376,-13.608743997207851,3.834436308674748,1
2024-05-14,186.55752563476562,187.42348620330452,185.42283282321628,186.63715506565202,52393600,183.85466613769532,183.893048997764,184.6399943033854,81.28302914112103,5.25250244140625,108.98593081708356,-12.260936296844449,3.4696718245286724,1
